inflation,inflation_no_f_e,unemployment,total_ui_claims,q_output,industry,jo,u,w,year,month,after_covid,jo_log,u_log,w_log,inflation_log,inflation_fe_log,ui_claims_log,unemployment_log
246.435,252.812,6854,1362000,,1,5757,115598,26,2017,9,0,8.6581717,11.657874,3.2580965,5.5070982,5.5326462,14.124465,8.8325872
246.62601,253.526,6700,969000,,1,5855,115598,26,2017,10,0,8.6750517,11.657874,3.2580965,5.5078731,5.5354662,13.784019,8.8098631
247.284,253.81599,6774,991000,,1,5736,115598,27,2017,11,0,8.6545172,11.657874,3.2958369,5.5105376,5.5366096,13.80647,8.8208466
247.80499,254.34399,6632,1213000,,1,5758,115598,27,2017,12,0,8.6583452,11.657874,3.2958369,5.5126419,5.5386877,14.008607,8.7996616
248.85899,255.20399,6489,941000,,1,6029,117624,27,2018,1,0,8.7043362,11.675248,3.2958369,5.5168862,5.5420632,13.754699,8.7778635
249.52901,255.711,6581,884000,,1,5956,117624,27,2018,2,0,8.6921539,11.675248,3.2958369,5.5195751,5.5440478,13.692212,8.7919416
249.577,256.271,6472,1129000,31343.2,1,6191,117624,27,2018,3,0,8.7308521,11.675248,3.2958369,5.5197673,5.5462356,13.936843,8.7752409
250.22701,256.63,6459,886000,,1,6284,117624,27,2018,4,0,8.7457619,11.675248,3.2958369,5.5223684,5.5476356,13.694472,8.7732296
250.79201,257.14499,6196,885000,,1,6420,117624,27,2018,5,0,8.7671738,11.675248,3.2958369,5.5246239,5.5496402,13.693343,8.7316589
251.01801,257.39899,6447,1113000,31626.5,1,6584,117624,27,2018,6,0,8.7923975,11.675248,3.2958369,5.5255246,5.5506272,13.922569,8.7713699
251.214,257.69901,6195,838000,,1,6544,117624,27,2018,7,0,8.7863035,11.675248,3.2958369,5.5263052,5.5517921,13.638773,8.7314978
251.66299,257.89099,6156,834000,,1,6483,117624,27,2018,8,0,8.7769384,11.675248,3.2958369,5.528091,5.552537,13.633988,8.7251825
252.18201,258.36801,6073,1026000,31809.9,1,6794,117624,27,2018,9,0,8.8237953,11.675248,3.2958369,5.5301509,5.5543852,13.841178,8.7116079
252.772,258.91699,6211,852000,,1,6688,117624,27,2018,10,0,8.8080702,11.675248,3.2958369,5.5324879,5.5565076,13.655342,8.7340775
252.59399,259.439,6115,901000,,1,6919,117624,27,2018,11,0,8.8420267,11.675248,3.2958369,5.5317836,5.5585217,13.711261,8.7185001
252.767,260.06299,6389,1123000,31834.8,1,6809,117624,28,2018,12,0,8.8260002,11.675248,3.3322046,5.5324683,5.5609241,13.931514,8.7623329
252.561,260.76599,6475,891000,,1,6805,119362,28,2019,1,0,8.8254128,11.689917,3.3322046,5.5316529,5.5636234,13.7001,8.7757034
253.319,261.186,6136,906000,,1,6369,119362,28,2019,2,0,8.7591982,11.689917,3.3322046,5.5346494,5.5652328,13.716795,8.7219286
254.27699,261.56699,6202,1089000,31893.1,1,6624,119362,28,2019,3,0,8.7984543,11.689917,3.3322046,5.538424,5.5666904,13.90077,8.7326269
255.233,261.99701,5961,857000,,1,6477,119362,28,2019,4,0,8.7760124,11.689917,3.3322046,5.5421767,5.5683331,13.661193,8.6929932
255.29601,262.21701,5930,875000,,1,6635,119362,28,2019,5,0,8.8001137,11.689917,3.3322046,5.5424237,5.5691724,13.681979,8.6877794
255.213,262.73901,5935,1116000,32107.6,1,6440,119362,28,2019,6,0,8.7702837,11.689917,3.3322046,5.5420985,5.5711613,13.925261,8.6886225
255.802,263.28,6061,821000,,1,6401,119362,28,2019,7,0,8.7642097,11.689917,3.3322046,5.5444036,5.5732179,13.618279,8.70963
256.03601,263.87701,5945,1034000,,1,6426,119362,28,2019,8,0,8.7681074,11.689917,3.3322046,5.5453181,5.5754833,13.848946,8.6903057
256.42999,264.388,5753,815000,32375.5,1,6416,119362,28,2019,9,0,8.7665501,11.689917,3.3322046,5.5468559,5.5774179,13.610944,8.6574764
257.155,264.97,5871,847000,,1,6525,119362,28,2019,10,0,8.7833958,11.689917,3.3322046,5.5496788,5.5796165,13.649456,8.6777802
257.879,265.548,5868,1117000,,1,6146,119362,28,2019,11,0,8.7235565,11.689917,3.3322046,5.5524907,5.5817957,13.926157,8.677269
258.63,266.01999,5853,942000,32399.4,1,5944,119362,28,2019,12,0,8.6901379,11.689917,3.3322046,5.5553985,5.5835714,13.75576,8.6747093
258.90601,266.698,5842,862000,,1,6342,110260,28,2020,1,1,8.7549496,11.610597,3.3322046,5.5564651,5.5861168,13.66701,8.6728287
259.246,267.40201,5729,1066000,,1,6194,110260,29,2020,2,1,8.7313366,11.610597,3.3672957,5.5577774,5.5887532,13.879424,8.6532965
258.14999,267.06799,7209,9351000,31956.7,1,5100,110260,29,2020,3,1,8.5369959,11.610597,3.3672957,5.5535407,5.5875034,16.050993,8.8830853
256.12601,265.79599,23090,18653000,,1,4034,110260,30,2020,4,1,8.3025141,11.610597,3.4011974,5.5456696,5.5827289,16.741518,10.047154
255.84801,265.461,20933,10867000,,1,4942,110260,30,2020,5,1,8.5055256,11.610597,3.4011974,5.5445833,5.5814681,16.201241,9.9490824
257.004,265.83899,17658,5961000,28936,1,5441,110260,29,2020,6,1,8.6017179,11.610597,3.3672957,5.5490918,5.582891,15.600749,9.778944
258.40799,267.37299,16391,5534000,,1,5690,110260,29,2020,7,1,8.6464653,11.610597,3.3672957,5.5545397,5.5886445,15.526422,9.7044878
259.366,268.39001,13498,4612000,,1,5661,110260,29,2020,8,1,8.6413555,11.610597,3.3672957,5.5582404,5.5924411,15.344172,9.5102968
259.95099,268.89999,12573,3407000,31138,1,5789,110260,30,2020,9,1,8.6637144,11.610597,3.4011974,5.560493,5.5943394,15.041343,9.4393072
260.24899,269.28,11012,3977000,,1,6098,110260,30,2020,10,1,8.7157164,11.610597,3.4011974,5.5616388,5.5957518,15.196038,9.3067408
260.89499,269.96701,10713,3005000,,1,6162,110260,30,2020,11,1,8.7261562,11.610597,3.4011974,5.5641179,5.5983,14.915788,9.279213
262.005,270.34,10772,3347000,31876.3,1,6178,110260,30,2020,12,1,8.7287502,11.610597,3.4011974,5.5683637,5.5996804,15.023575,9.2847052
262.51801,270.422,10196,4139000,,1,6415,114459,30,2021,1,1,8.7663946,11.647972,3.4011974,5.5703197,5.5999837,15.235965,9.2297506
263.58301,270.81299,9992,3020000,,1,7053,114459,30,2021,2,1,8.861208,11.647972,3.4011974,5.5743685,5.6014285,14.920768,9.2095404
264.91,271.461,9734,2677000,32563.2,1,7547,114459,30,2021,3,1,8.9289055,11.647972,3.4011974,5.57939,5.6038184,14.800207,9.1833801
266.75201,273.66501,9801,2356000,,1,8336,114459,30,2021,4,1,9.0283384,11.647972,3.4011974,5.5863194,5.6119046,14.672476,9.1902399
268.452,275.49399,9250,2346000,,1,8933,114459,30,2021,5,1,9.0975075,11.647972,3.4011974,5.5926723,5.618566,14.668222,9.1323786
270.664,277.58499,9547,1642000,33112.8,1,9146,114459,31,2021,6,1,9.1210718,11.647972,3.4339871,5.6008782,5.6261272,14.311425,9.1639824
271.99399,278.612,8770,1819000,,1,9956,114459,31,2021,7,1,9.2059307,11.647972,3.4339871,5.6057801,5.6298203,14.413797,9.079092
272.789,278.99301,8288,1397000,,1,10094,114459,31,2021,8,1,9.219696,11.647972,3.4339871,5.6086988,5.631187,14.149837,9.0225639
273.88699,279.70999,7659,1362000,33360.4,1,9925,114459,31,2021,9,1,9.2028122,11.647972,3.4339871,5.6127157,5.6337533,14.124465,8.9436369
276.43399,281.62299,7244,1417000,,1,10405,114459,31,2021,10,1,9.250042,11.647972,3.4339871,5.6219721,5.6405692,14.164053,8.887929
278.79901,283.39301,6733,958000,,1,10234,114459,31,2021,11,1,9.2334709,11.647972,3.4339871,5.6304913,5.6468349,13.772603,8.8147764
280.80801,285.22101,6305,858000,33768,1,10721,114459,31,2021,12,1,9.2799597,11.647972,3.4339871,5.637671,5.6532645,13.662359,8.7490978
282.39001,286.811,6549,1187000,,1,10441,119103,32,2022,1,1,9.2534952,11.687744,3.4657359,5.6432891,5.6588235,13.986939,8.7870674
284.535,288.28699,6279,888000,,1,10516,119103,32,2022,2,1,9.2606535,11.687744,3.4657359,5.6508565,5.6639566,13.696727,8.7449656
287.55301,289.04099,5993,872000,33849.4,1,11009,119103,32,2022,3,1,9.306468,11.687744,3.4657359,5.661407,5.6665683,13.678545,8.6983471
288.76401,290.51501,6034,1078000,,1,10726,119103,32,2022,4,1,9.280426,11.687744,3.4657359,5.6656098,5.6716552,13.890618,8.7051659
291.35901,292.07199,5966,849000,,1,10379,119103,32,2022,5,1,9.2475395,11.687744,3.4657359,5.6745563,5.6770005,13.651814,8.6938324
294.996,293.97198,5984,867000,33968.6,1,9995,119103,32,2022,6,1,9.2098398,11.687744,3.4657359,5.6869617,5.6834846,13.672794,8.6968441
294.97699,295.05499,5783,1075000,,1,10266,119103,32,2022,7,1,9.2365923,11.687744,3.4657359,5.6868973,5.6871619,13.887832,8.6626778
295.20901,296.569,5983,841000,,1,9179,119103,32,2022,8,1,9.1246738,11.687744,3.4657359,5.6876836,5.6922798,13.642347,8.6966772
296.341,298.284,5755,762000,34156.6,1,9788,119103,33,2022,9,1,9.1889124,11.687744,3.4965076,5.6915107,5.6980462,13.543702,8.6578245
297.86301,299.35101,5950,1007000,,1,9519,119103,33,2022,10,1,9.1610451,11.687744,3.4965076,5.6966338,5.7016168,13.822486,8.6911469
298.64801,300.29199,5956,850000,,1,9671,119103,33,2022,11,1,9.1768866,11.687744,3.4965076,5.6992655,5.7047553,13.652991,8.6921539
298.81201,301.423,5698,1053000,34126.5,1,10126,119103,33,2022,12,1,9.2228613,11.687744,3.4965076,5.6998148,5.7085147,13.867154,8.6478701
300.35599,302.70901,5719,798000,,1,9536,121715,33,2023,1,1,9.1628294,11.709437,3.4965076,5.7049685,5.7127719,13.589864,8.6515493
301.509,304.12399,5962,874000,,1,8959,121715,33,2023,2,1,9.1004143,11.709437,3.4965076,5.7087998,5.7174354,13.680836,8.693161
301.74399,305.112,5866,968000,34435.9,1,8710,121715,33,2023,3,1,9.0722275,11.709437,3.4965076,5.709579,5.7206788,13.782988,8.6769285
303.03201,306.539,5715,1185000,,1,9291,121715,33,2023,4,1,9.1368017,11.709437,3.4965076,5.7138386,5.7253451,13.985253,8.6508493
303.36499,307.646,6117,919000,,1,8496,121715,34,2023,5,1,9.0473509,11.709437,3.5263605,5.7149367,5.7289495,13.731041,8.7188272
304.00299,308.245,5997,1027000,34550.5,1,8048,121715,34,2023,6,1,8.9931793,11.709437,3.5263605,5.7170377,5.730895,13.842153,8.6990147
304.62799,308.94501,5904,1162000,,1,7958,121715,34,2023,7,1,8.9819326,11.709437,3.5263605,5.7190914,5.7331634,13.965653,8.6833849
306.18701,309.65601,6340,951000,,1,8433,121715,34,2023,8,1,9.0399075,11.709437,3.5263605,5.724196,5.7354622,13.765269,8.7546339
307.28799,310.64401,6347,1054000,34848.5,1,8381,121715,34,2023,9,1,9.0337229,11.709437,3.5263605,5.7277856,5.7386475,13.868103,8.7557373
307.53101,311.39001,6443,843000,,1,7845,121715,34,2023,10,1,8.9676313,11.709437,3.5263605,5.7285757,5.7410464,13.644722,8.7707491
308.02399,312.349,6262,881000,,1,7911,121715,34,2023,11,1,8.9760094,11.709437,3.5263605,5.7301779,5.7441211,13.688813,8.7422552
308.742,313.20901,6268,1053000,,1,8010,121715,34,2023,12,1,8.9884462,11.709437,3.5263605,5.7325058,5.7468705,13.867154,8.7432127
231.679,232.229,12471,1412000,,2,415,9726,13,2013,1,0,6.0282784,9.1825581,2.5649493,5.445353,5.4477239,14.160518,9.4311609
232.937,232.569,11950,1412000,,2,468,9726,13,2013,2,0,6.1484685,9.1825581,2.5649493,5.450768,5.4491868,14.160518,9.3884869
232.282,232.79401,11689,1759000,,2,451,9726,13,2013,3,0,6.1114674,9.1825581,2.5649493,5.4479523,5.4501538,14.380256,9.3664036
231.797,232.832,11760,1389000,,2,430,9726,13,2013,4,0,6.0637851,9.1825581,2.5649493,5.4458618,5.4503174,14.144094,9.3724594
231.89301,232.996,11654,1391000,,2,422,9726,13,2013,5,0,6.0450053,9.1825581,2.5649493,5.4462762,5.4510212,14.145534,9.3634043
232.44501,233.35001,11751,1723000,,2,438,9726,13,2013,6,0,6.0822191,9.1825581,2.5649493,5.4486537,5.4525394,14.359577,9.3716936
232.89999,233.88,11335,1384000,,2,451,9726,13,2013,7,0,6.1114674,9.1825581,2.5649493,5.4506092,5.4548082,14.140489,9.3356504
233.45599,234.336,11279,1667000,,2,429,9726,13,2013,8,0,6.0614572,9.1825581,2.5649493,5.4529934,5.4567561,14.326536,9.330698
233.54401,234.7,11270,1256000,,2,482,9726,13,2013,9,0,6.1779442,9.1825581,2.5649493,5.4533706,5.4583082,14.043443,9.3298998
233.66901,234.92101,11136,1434000,,2,450,9726,13,2013,10,0,6.1092477,9.1825581,2.5649493,5.4539056,5.4592495,14.175979,9.3179388
234.10001,235.35899,10787,1641000,,2,462,9726,13,2013,11,0,6.1355648,9.1825581,2.5649493,5.4557486,5.461112,14.310817,9.2860966
234.71899,235.759,10404,1384000,,2,504,9726,13,2013,12,0,6.2225761,9.1825581,2.5649493,5.4583888,5.46281,14.140489,9.2499456
235.28799,235.961,10202,1307000,,2,505,9831,13,2014,1,0,6.2245584,9.1932955,2.5649493,5.4608102,5.4636664,14.083245,9.2303391
235.547,236.185,10349,1341000,,2,485,9831,13,2014,2,0,6.1841488,9.1932955,2.5649493,5.4619102,5.4646153,14.108926,9.2446451
236.028,236.625,10380,1605000,,2,518,9831,13,2014,3,0,6.2499752,9.1932955,2.5649493,5.4639506,5.4664764,14.288634,9.2476358
236.468,237.07201,9702,1291000,,2,570,9831,13,2014,4,0,6.3456364,9.1932955,2.5649493,5.4658127,5.4683638,14.070928,9.1800871
236.918,237.52901,9859,1569000,,2,621,9831,13,2014,5,0,6.4313312,9.1932955,2.5649493,5.4677143,5.4702897,14.265949,9.1961403
237.231,237.83701,9460,1254000,,2,598,9831,13,2014,6,0,6.3935909,9.1932955,2.5649493,5.4690342,5.4715858,14.041849,9.1548281
237.498,238.19501,9608,1207000,,2,566,9831,13,2014,7,0,6.338594,9.1932955,2.5649493,5.4701591,5.4730897,14.003649,9.170351
237.46001,238.405,9599,1510000,,2,621,9831,13,2014,8,0,6.4313312,9.1932955,2.5649493,5.4699993,5.4739709,14.22762,9.1694145
237.47701,238.786,9262,1180000,,2,632,9831,13,2014,9,0,6.4488893,9.1932955,2.5649493,5.4700708,5.4755678,13.981025,9.1336756
237.42999,239.19099,8990,1155000,,2,604,9831,13,2014,10,0,6.403574,9.1932955,2.5649493,5.469873,5.4772625,13.959611,9.1038685
236.983,239.45799,9090,1458000,,2,573,9831,13,2014,11,0,6.3508859,9.1932955,2.5649493,5.4679885,5.4783778,14.192576,9.1149302
236.252,239.584,8717,1138000,,2,621,9831,13,2014,12,0,6.4313312,9.1932955,2.5649493,5.4648991,5.4789042,13.944783,9.0730305
234.74699,239.811,8885,1438000,,2,716,10107,13,2015,1,0,6.5736804,9.2209835,2.5649493,5.4585085,5.4798512,14.178763,9.0921202
235.342,240.172,8599,1205000,,2,653,10107,13,2015,2,0,6.4815769,9.2209835,2.5649493,5.4610395,5.4813552,14.00199,9.0594015
235.976,240.755,8515,1136000,,2,630,10107,13,2015,3,0,6.4457197,9.2209835,2.5649493,5.4637299,5.4837799,13.943024,9.0495844
236.222,241.34599,8550,1144000,,2,648,10107,13,2015,4,0,6.4738908,9.2209835,2.5649493,5.4647722,5.4862313,13.950042,9.0536861
237.00101,241.688,8834,1370000,,2,632,10107,13,2015,5,0,6.4488893,9.2209835,2.5649493,5.4680643,5.4876475,14.130322,9.0863628
237.657,242.064,8247,1095000,,2,599,10107,13,2015,6,0,6.3952618,9.2209835,2.5649493,5.4708285,5.489202,13.906265,9.0176048
238.034,242.565,8167,1111000,,2,692,10107,13,2015,7,0,6.5395861,9.2209835,2.5649493,5.4724135,5.4912696,13.920771,9.0078573
238.033,242.817,7992,1376000,,2,637,10107,13,2015,8,0,6.4567695,9.2209835,2.5649493,5.4724092,5.4923081,14.134691,8.9861965
237.498,243.31599,7907,1078000,,2,631,10107,14,2015,9,0,6.4473057,9.2209835,2.6390574,5.4701591,5.4943609,13.890618,8.9755039
237.733,243.76801,7922,1335000,,2,708,10107,14,2015,10,0,6.5624442,9.2209835,2.6390574,5.471148,5.4962168,14.104442,8.9773989
238.017,244.241,8000,1074000,,2,678,10107,14,2015,11,0,6.5191474,9.2209835,2.6390574,5.472342,5.4981556,13.886901,8.9871969
237.761,244.547,7907,1084000,,2,670,10107,14,2015,12,0,6.5072775,9.2209835,2.6390574,5.4712658,5.4994073,13.896169,8.9755039
237.65199,244.955,7627,1398000,,2,668,10358,14,2016,1,0,6.5042882,9.2455149,2.6390574,5.4708076,5.5010743,14.150553,8.9394503
237.336,245.50999,7702,1067000,,2,685,10358,14,2016,2,0,6.5294189,9.2455149,2.6390574,5.4694767,5.5033379,13.880362,8.949235
238.08,245.91299,7961,1053000,,2,708,10358,14,2016,3,0,6.5624442,9.2455149,2.6390574,5.4726067,5.5049777,13.867154,8.9823103
238.992,246.55099,8067,1330000,,2,650,10358,14,2016,4,0,6.4769726,9.2455149,2.6390574,5.4764299,5.5075688,14.10069,8.9955368
239.55701,247.13699,7652,1098000,,2,651,10358,14,2016,5,0,6.4785094,9.2455149,2.6390574,5.4787912,5.509943,13.909001,8.9427223
240.222,247.53999,7744,1061000,,2,700,10358,14,2016,6,0,6.5510802,9.2455149,2.6390574,5.4815636,5.5115724,13.874722,8.9546738
240.101,247.82899,7641,1297000,,2,651,10358,14,2016,7,0,6.4785094,9.2455149,2.6390574,5.4810596,5.5127392,14.075564,8.9412842
240.545,248.423,7784,1054000,,2,708,10358,14,2016,8,0,6.5624442,9.2455149,2.6390574,5.4829073,5.5151329,13.868103,8.9598255
241.17599,248.842,7953,1006000,,2,659,10358,14,2016,9,0,6.4907236,9.2455149,2.6390574,5.485527,5.516818,13.821492,8.9813042
241.741,249.142,7811,1279000,,2,652,10358,14,2016,10,0,6.4800444,9.2455149,2.6390574,5.4878669,5.518023,14.061589,8.9632883
242.026,249.481,7553,983000,,2,658,10358,14,2016,11,0,6.4892049,9.2455149,2.6390574,5.4890451,5.519383,13.798365,8.9296999
242.63699,249.92,7521,1261000,,2,654,10358,14,2016,12,0,6.4831076,9.2455149,2.6390574,5.4915667,5.5211411,14.047416,8.9254541
243.618,250.467,7468,976000,,2,644,10324,14,2017,1,0,6.4676986,9.2422266,2.6390574,5.4956012,5.5233274,13.791218,8.9183826
244.006,250.998,7379,921000,,2,805,10324,14,2017,2,0,6.6908422,9.2422266,2.6390574,5.4971929,5.525445,13.733215,8.9063931
243.892,250.944,7073,935000,,2,653,10324,14,2017,3,0,6.4815769,9.2422266,2.6390574,5.4967256,5.5252299,13.748302,8.8640404
244.19299,251.22701,7089,1139000,,2,759,10324,14,2017,4,0,6.6320019,9.2422266,2.6390574,5.4979587,5.5263567,13.945662,8.8662996
244.004,251.42999,7000,956000,,2,776,10324,14,2017,5,0,6.6541524,9.2422266,2.6390574,5.4971848,5.5271645,13.770514,8.8536654
244.16299,251.746,6873,992000,,2,735,10324,15,2017,6,0,6.5998707,9.2422266,2.7080503,5.4978361,5.5284204,13.807478,8.8353558
244.243,251.985,6892,1254000,,2,749,10324,15,2017,7,0,6.6187391,9.2422266,2.7080503,5.4981637,5.5293694,14.041849,8.8381166
